dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,160.0,74.4186046511628,8.913765521398126,Allerdings sind diese Ergebnisse umstritten.,"Man muss aber auch sagen, dass diese Ergebnisse sehr umstritten sind.",2,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** umstritten *****
HYP:  man   muss  aber  auch  sagen      dass diese ergebnisse sehr  umstritten sind
TYPE: I     I     I     I     S          S    C     C          I     C          I"
BE,115.38461538461537,67.44186046511628,5.237520761048587,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.,"Es wurde erklärt, dass das, was Trencavel hörte, er verloren hatte, und dann begab er sich in Sexil nach Aragon.",8,0,7,"REF:  ***** ***** *****   ***** ***** ***** trencavel seiner besitzungen für      verlustig erklärt und  begab ***** sich ins exil  nach aragon
HYP:  es    wurde erklärt dass  das   was   trencavel hörte  er          verloren hatte     und     dann begab er    sich in  sexil nach aragon
TYPE: I     I     I       I     I     I     C         S      S           S        S         S       S    C     I     C    S   S     C    C"
ZH,100.0,71.42857142857143,23.643540225079384,Im Norden liegt die Bandasee.,Der Bandasee ist im Norden.,5,0,0,"REF:  im  norden   liegt die bandasee
HYP:  der bandasee ist   im  norden
TYPE: S   S        S     S   S"
BE,100.0,50.0,7.655122720591221,"Nina Jäckle verfasste bislang Hörspiele, Theaterstücke, Drehbücher und vor allem Prosa.","Nina Jäckle hat den Besitz vor allem Hörspiel-, Theaterstücken und Drehbücher, aber vor allem Pros angeschrieben.",6,0,5,"REF:  nina jäckle ***** ***** *****  ***** verfasste bislang  hörspiele      theaterstücke drehbücher und  vor allem ***** prosa
HYP:  nina jäckle hat   den   besitz vor   allem     hörspiel theaterstücken und           drehbücher aber vor allem pros  angeschrieben
TYPE: C    C      I     I     I      I     S         S        S              S             C          S    C   C     I     S"
ZG,100.0,79.20792079207921,50.480055043434,Trotz dieses Wachstums verlor der Ort seine Selbstständigkeit durch die Eingemeindung nach Den Helder.,Durch die Eingemeindung nach Den Helder verlor der Ort trotz des Wachstums seine Selbstständigkeit.,8,3,3,"REF:  ***** ***** *****         trotz dieses wachstums verlor der ort seine selbstständigkeit durch     die   eingemeindung     nach  den   helder
HYP:  durch die   eingemeindung nach  den    helder    verlor der ort trotz des               wachstums seine selbstständigkeit ***** ***** *****
TYPE: I     I     I             S     S      S         C      C   C   S     S                 S         S     S                 D     D     D"
AG,100.0,40.0,18.99589214128981,Lebensjahr vollendet.,Das Lebensjahr ist vollendet.,0,0,2,"REF:  ***** lebensjahr ***** vollendet
HYP:  das   lebensjahr ist   vollendet
TYPE: I     C          I     C"
BE,100.0,60.0,11.99014838091355,Der Rat hat die Reden Muammar Gadaffis nicht besprochen.,Die Rede von Muammar Gaddafi besprach der Rat nicht.,7,1,1,"REF:  ***** der  rat hat     die     reden    muammar gadaffis nicht besprochen
HYP:  die   rede von muammar gaddafi besprach der     rat      nicht *****
TYPE: I     S    S   S       S       S        S       S        C     D"
BL,88.88888888888889,29.411764705882355,13.674406678232565,Wie anderswo waren auch hier zunächst nur Männer teilnahmeberechtigt.,"Wie auch anderswo war er hier zunächst nur, wenn der Teilnahme berechtigt war.",4,0,4,"REF:  wie ***** anderswo waren auch hier zunächst nur ***** ***** *****     männer     teilnahmeberechtigt
HYP:  wie auch  anderswo war   er   hier zunächst nur wenn  der   teilnahme berechtigt war
TYPE: C   I     C        S     S    C    C        C   I     I     I         S          S"
BE,87.5,60.78431372549019,14.991106946711685,"Wir können so verfahren, wie Sie vorgeschlagen haben.","Dieser kann in den Verfahren, den Sie vorgeschlagen haben, ausgeführt werden.",4,0,3,"REF:  *****  wir  können so  verfahren wie sie vorgeschlagen haben *****      *****
HYP:  dieser kann in     den verfahren den sie vorgeschlagen haben ausgeführt werden
TYPE: I      S    S      S   C         S   C   C             C     I          I"
TG,87.5,37.254901960784316,24.446151121745064,Ich bin noch mit drei weiteren Dingen einverstanden.,Mit nur drei weiteren Dingen bin ich verstanden.,3,2,2,"REF:  ich bin noch  mit   drei weiteren dingen ***** ***** einverstanden
HYP:  mit nur ***** ***** drei weiteren dingen bin   ich   verstanden
TYPE: S   S   D     D     C    C        C      I     I     S"
ZH,87.5,48.148148148148145,15.851165692617148,Dadurch verformt sich das zu bearbeitende Blech zurück.,"Durch das verformt sich das Blech, das bearbeitet werden muss, zurück.",4,0,3,"REF:  ***** dadurch verformt sich das ***** ***** zu         bearbeitende blech zurück
HYP:  durch das     verformt sich das blech das   bearbeitet werden       muss  zurück
TYPE: I     S       C        C    C   I     I     S          S            S     C"
BE,87.5,47.05882352941176,23.462350320528007,Alle Daten und Fakten siehe unter Weinbaugebiet Ahr.,Für alle Daten und Fakten schaut ihr euch das Maibaugebiet an.,4,0,3,"REF:  ***** alle daten und fakten *****  ***** siehe unter weinbaugebiet ahr
HYP:  für   alle daten und fakten schaut ihr   euch  das   maibaugebiet  an
TYPE: I     C    C     C   C      I      I     S     S     S             S"
BE,83.33333333333334,72.41379310344827,10.400597689005304,"Mensch, schön habt ihr es hier!","Hauptsache, der ist schön hier.",4,1,0,"REF:  mensch     schön habt ihr   es    hier
HYP:  hauptsache der   ist  schön ***** hier
TYPE: S          S     S    S     D     C"
UR,83.33333333333334,55.55555555555556,21.444097124017667,In diesem Moment verunglückt der Zug.,Der Zug verunglückt dieserzeit.,3,2,0,"REF:  in  diesem moment verunglückt der        zug
HYP:  der zug    *****  verunglückt dieserzeit *****
TYPE: S   S      D      C           S          D"
SO,80.0,45.0,8.913765521398126,Warum aber sagen wir das dann nicht in unserer Entschließung?,"Warum sagen wir so etwas nicht, wenn wir uns hierzu entschließen?",5,1,2,"REF:  warum aber  sagen wir das dann  nicht ***** ***** in  unserer entschließung
HYP:  warum ***** sagen wir so  etwas nicht wenn  wir   uns hierzu  entschließen
TYPE: C     D     C     C   S   S     C     I     I     S   S       S"
BE,77.77777777777779,39.39393939393939,6.742555929751843,Sollten wir jetzt nicht allmählich mit unseren Beratungen anfangen?,Sollen wir nicht jetzt langsam mit unserer Beratung beginnen?,5,1,1,"REF:  sollten wir ***** jetzt nicht   allmählich mit unseren beratungen anfangen
HYP:  sollen  wir nicht jetzt langsam *****      mit unserer beratung   beginnen
TYPE: S       C   I     C     S       D          C   S       S          S"
AG,75.0,34.24657534246575,7.768562846380176,Diese Supernova vom Typ Ia war eine der am besten beobachteten Supernovae.,Die Supernova des Typs Ia ist einer der besten beobachteten Supernova aller Zeiten.,6,1,2,"REF:  diese supernova vom typ  ia war eine  der am    besten beobachteten *****     ***** supernovae
HYP:  die   supernova des typs ia ist einer der ***** besten beobachteten supernova aller zeiten
TYPE: S     C         S   S    C  S   S     C   D     C      C            I         I     S"
SO,71.42857142857143,43.75,13.134549472120788,Auch zu sehen ist eine große Briefmarkensammlung.,Man sieht hier auch eine sehr große Briefmarkensammlung.,4,0,1,"REF:  auch zu    sehen ist  eine ***** große briefmarkensammlung
HYP:  man  sieht hier  auch eine sehr  große briefmarkensammlung
TYPE: S    S     S     S    C    I     C     C"
BE,70.0,39.0625,17.542198478193427,Diese Ranch war früher Drehort von Wildwest-Filmen mit John Wayne.,Durance war früher der Dreiorteil des Wilden Westensfilms mit John Wayne.,4,1,2,"REF:  diese   ranch war früher ***** *****      drehort von    wildwestfilmen mit john wayne
HYP:  durance ***** war früher der   dreiorteil des     wilden westensfilms   mit john wayne
TYPE: S       D     C   C      I     I          S       S      S              C   C    C"
ZG,66.66666666666666,5.0,27.516060407455225,"Staats-Obergymnasium unterrichtete, kennen.","Staatsopergymnasium unterrichtet, kennen.",2,0,0,"REF:  staatsobergymnasium unterrichtete kennen
HYP:  staatsopergymnasium unterrichtet  kennen
TYPE: S                   S             C"
BL,66.66666666666666,35.13513513513514,44.63236137853326,Die Bemühungen in dieser Sache laufen.,Die Bemühungen in dieser Sache sind an der Laufe.,1,0,3,"REF:  die bemühungen in dieser sache ***** ***** ***** laufen
HYP:  die bemühungen in dieser sache sind  an    der   laufe
TYPE: C   C          C  C      C     I     I     I     S"
BL,66.66666666666666,9.523809523809524,30.326532985631665,Späth Orgelbau erbaut.,Spätorgelbau erbaut.,1,1,0,"REF:  späth        orgelbau erbaut
HYP:  spätorgelbau *****    erbaut
TYPE: S            D        C"
AG,66.66666666666666,25.71428571428571,16.784459625186194,Spilotro sollte nun wieder die Schutzfunktion für Rosenthal übernehmen.,Spilotto soll jetzt erneut die Schutzfunktion für das Rosental übernehmen.,5,0,1,"REF:  spilotro sollte nun   wieder die schutzfunktion für ***** rosenthal übernehmen
HYP:  spilotto soll   jetzt erneut die schutzfunktion für das   rosental  übernehmen
TYPE: S        S      S     S      C   C              C   I     S         C"
ZH,66.66666666666666,36.53846153846153,10.923299908191149,In Risse drang Wasser ein und sprengte Felsblöcke ab.,Iris ist wassereindruckend und sprengt Felsblöcke ab.,4,2,0,"REF:  in   risse drang             wasser ein   und sprengte felsblöcke ab
HYP:  iris ist   wassereindruckend *****  ***** und sprengt  felsblöcke ab
TYPE: S    S     S                 D      D     C   S        C          C"
SG,66.66666666666666,40.963855421686745,44.833867003844574,"Dies war nicht der Fall für die Kontrollgruppen, die keine Fehlinformation erhielten.","Das war für die Kontrollgruppen, die keine Fehlinformationen erhielten, nicht der Fall.",2,3,3,"REF:  dies war nicht der   fall  für die kontrollgruppen die keine fehlinformation   erhielten ***** ***** *****
HYP:  das  war ***** ***** ***** für die kontrollgruppen die keine fehlinformationen erhielten nicht der   fall
TYPE: S    C   D     D     D     C   C   C               C   C     S                 C         I     I     I"
ZH,66.66666666666666,46.05263157894737,14.448814886766836,Alois von und zu Liechtenstein galt als Förderer der Wissenschaft und Künste.,Alois von und Sul Richterstein förderte Kunst und Wissenschaft.,5,3,0,"REF:  alois von und zu  liechtenstein galt     als   förderer der   wissenschaft und   künste
HYP:  alois von und sul richterstein  förderte kunst und      ***** wissenschaft ***** *****
TYPE: C     C   C   S   S             S        S     S        D     C            D     D"
AG,66.66666666666666,29.629629629629626,17.747405280050266,In der Hauptphase dreht der Körper um seine Längsachse.,Ich halb die Phase dritter Körper um seine Längsachsen.,6,0,0,"REF:  in  der  hauptphase dreht der     körper um seine längsachse
HYP:  ich halb die        phase dritter körper um seine längsachsen
TYPE: S   S    S          S     S       C      C  C     S"
SO,66.66666666666666,32.53012048192771,15.537125692760354,"Pfostenlöcher am Südtor lassen annehmen, dass er mit einer Holzbrücke überspannt war.","Aufgrund der Pforsterlöcher am Südtor kann man annehmen, dass dort eine Holzbrücke überspannt war.",4,1,3,"REF:  *****    ***** pfostenlöcher  am südtor ***** lassen annehmen dass er   mit  einer holzbrücke überspannt war
HYP:  aufgrund der   pforsterlöcher am südtor kann  man    annehmen dass dort eine ***** holzbrücke überspannt war
TYPE: I        I     S              C  C      I     S      C        C    S    S    D     C          C          C"
