dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,180.0,79.06976744186046,4.9323515694897075,Allerdings sind diese Ergebnisse umstritten.,man muss aber auch sagen dass die Ergebnisse sehr umstritten sind,3,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** umstritten *****
HYP:  man   muss  aber  auch  sagen      dass die   ergebnisse sehr  umstritten sind
TYPE: I     I     I     I     S          S    S     C          I     C          I"
BE,150.0,70.83333333333334,6.567274736060395,Sie fehlen im Mittelmeer.,Seien Sie lieb und mit mir hier.,3,0,3,"REF:  ***** sie ***** ***** fehlen im  mittelmeer
HYP:  seien sie lieb  und   mit    mir hier
TYPE: I     C   I     I     S      S   S"
BE,146.15384615384613,100.0,4.108053662461269,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.,"es wurde erklärt, dass das Dasein, das Drengamel gewählt hatte er verloren hatte oder er sich in Sachsen nach Aragon bekehrt hatte",10,0,9,"REF:  ***** ***** *****   ***** ***** *****  ***** trencavel seiner  besitzungen für verlustig erklärt und  begab sich ins exil    nach aragon *****   *****
HYP:  es    wurde erklärt dass  das   dasein das   drengamel gewählt hatte       er  verloren  hatte   oder er    sich in  sachsen nach aragon bekehrt hatte
TYPE: I     I     I       I     I     I      I     S         S       S           S   S         S       S    S     C    S   S       C    C      I       I"
SG,133.33333333333331,52.63157894736842,10.682175159905848,Gute Überwachung: Ja!,"Gut, du überwagst ich. Ja.",2,0,2,"REF:  ***** ***** gute      überwachung ja
HYP:  gut   du    überwagst ich         ja
TYPE: I     I     S         S           C"
BL,133.33333333333331,71.42857142857143,0.0,Späth Orgelbau erbaut.,Spreiten Sie Orgelbaum ab,3,0,1,"REF:  *****    späth orgelbau  erbaut
HYP:  spreiten sie   orgelbaum ab
TYPE: I        S     S         S"
ZH,133.33333333333331,34.42622950819672,13.545994273378144,Landsberg-Velen war promovierter Jurist und Rittergutsbesitzer.,De Landsberg Wehlen ist ein promovierter Jurist und ein Ritterguts-Besitzer G. C.,2,0,6,"REF:  ***** *****     *****  landsbergvelen war promovierter jurist und ***** rittergutsbesitzer ***** *****
HYP:  de    landsberg wehlen ist            ein promovierter jurist und ein   rittergutsbesitzer g     c
TYPE: I     I         I      S              S   C            C      C   I     C                  I     I"
UR,133.33333333333331,72.22222222222221,0.0,Wohin führt dieser?,Und wie geht's dir?,3,0,1,"REF:  ***** wohin führt dieser
HYP:  und   wie   gehts dir
TYPE: I     S     S     S"
UR,125.0,57.14285714285714,0.0,Tötet nicht den Boten.,"Töte nutzen, um zu booten.",4,0,1,"REF:  ***** tötet  nicht den boten
HYP:  töte  nutzen um    zu  booten
TYPE: I     S      S     S   S"
BL,125.0,45.83333333333333,4.196114906296549,Es gibt in Deutschland keine Rechtsgrundlage für Bürgerkriegsflüchtlinge.,Ein Schießendot schlägt ein Rechtsgrundlag für eine Reihe von Flüchtlingen,8,0,2,"REF:  ***** *****       es      gibt in             deutschland keine rechtsgrundlage für bürgerkriegsflüchtlinge
HYP:  ein   schießendot schlägt ein  rechtsgrundlag für         eine  reihe           von flüchtlingen
TYPE: I     I           S       S    S              S           S     S               S   S"
ZG,125.0,41.53846153846154,3.7477767366779213,Von anderen Seiten werden noch niedrigere Wachstumsraten erwartet.,für die andere Seite wurde es nun zu einem Wachstumsraten gewertet,7,0,3,"REF:  ***** ***** *****  von   anderen seiten werden noch niedrigere wachstumsraten erwartet
HYP:  für   die   andere seite wurde   es     nun    zu   einem      wachstumsraten gewertet
TYPE: I     I     I      S     S       S      S      S    S          C              S"
BL,122.22222222222223,52.94117647058824,4.065425428798724,Wie anderswo waren auch hier zunächst nur Männer teilnahmeberechtigt.,wie auch sonst soll die NATO zunachst nur man der Teilnahme beachtlich sein.,7,0,4,"REF:  wie ***** anderswo waren auch hier zunächst nur ***** ***** *****     männer     teilnahmeberechtigt
HYP:  wie auch  sonst    soll  die  nato zunachst nur man   der   teilnahme beachtlich sein
TYPE: C   I     S        S     S    S    S        C   I     I     I         S          S"
LU,120.0,60.97560975609756,6.567274736060395,Penda war vermutlich mehrmals verheiratet.,Penda hat vermutlich Memo's für die Altitude gesehen.,3,0,3,"REF:  penda war vermutlich ***** ***** ***** mehrmals verheiratet
HYP:  penda hat vermutlich memos für   die   altitude gesehen
TYPE: C     S   C          I     I     I     S        S"
ZH,120.0,75.0,16.233395773754953,Im Norden liegt die Bandasee.,Der Band ist erst im Norden.,5,0,1,"REF:  ***** im   norden liegt die bandasee
HYP:  der   band ist    erst  im  norden
TYPE: I     S    S      S     S   S"
