dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,160.0,74.4186046511628,8.913765521398126,Allerdings sind diese Ergebnisse umstritten.,"Man muss aber auch sagen, dass diese Ergebnisse sehr umstritten sind.",2,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** umstritten *****
HYP:  man   muss  aber  auch  sagen      dass diese ergebnisse sehr  umstritten sind
TYPE: I     I     I     I     S          S    C     C          I     C          I"
BE,130.76923076923077,84.88372093023256,4.567211833282236,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.,"Es wurde erklärt, dass das, was Tremcawell hörte, er verloren habe, und dass er sich dann in Säxim nach Aragon beging.",9,0,8,"REF:  ***** ***** *****   ***** ***** trencavel seiner     besitzungen für verlustig erklärt und ***** begab sich ***** ins exil  nach aragon *****
HYP:  es    wurde erklärt dass  das   was       tremcawell hörte       er  verloren  habe    und dass  er    sich dann  in  säxim nach aragon beging
TYPE: I     I     I       I     I     S         S          S           S   S         S       C   I     S     C    I     S   S     C    C      I"
BE,109.09090909090908,54.761904761904766,6.839596061560946,"Nina Jäckle verfasste bislang Hörspiele, Theaterstücke, Drehbücher und vor allem Prosa.","Nina Jäckle hat Besitz vor allem im Hörspiel, Theaterstück und Reihbücher, aber vor allem in Prosen geschrieben.",6,0,6,"REF:  nina jäckle ***** *****  verfasste bislang hörspiele theaterstücke drehbücher   und *****      ***** vor allem ***** *****  prosa
HYP:  nina jäckle hat   besitz vor       allem   im        hörspiel      theaterstück und reihbücher aber  vor allem in    prosen geschrieben
TYPE: C    C      I     I      S         S       S         S             S            C   I          I     C   C     I     I      S"
ZG,100.0,7.5,0.0,"Staats-Obergymnasium unterrichtete, kennen.","Staatsopergymnasium unterrichtet, Kenne.",3,0,0,"REF:  staatsobergymnasium unterrichtete kennen
HYP:  staatsopergymnasium unterrichtet  kenne
TYPE: S                   S             S"
BL,100.0,84.61538461538461,35.08439695638686,"Er und seine Frau Anna, geb.","Er und seine Frau Anna, geboren 19 – 20 Juni 1972",1,0,5,"REF:  er und seine frau anna *****   ***** ***** ***** ***** geb
HYP:  er und seine frau anna geboren 19    –     20    juni  1972
TYPE: C  C   C     C    C    I       I     I     I     I     S"
SG,100.0,24.0,10.552670315936318,Abgestufte Inanspruchnahme von Betriebsmitteln regelt die Zugriffskontrolle.,"Eben gestrauchte, in Anspruch genommen von Betriebsmitteln, regelte Zugriffskontrolle.",3,1,3,"REF:  ***** *****       ***** abgestufte inanspruchnahme von betriebsmitteln regelt  die   zugriffskontrolle
HYP:  eben  gestrauchte in    anspruch   genommen        von betriebsmitteln regelte ***** zugriffskontrolle
TYPE: I     I           I     S          S               C   C               S       D     C"
LU,100.0,64.51612903225806,0.0,Heute reicht das nicht mehr aus.,Hut Langeters Nummer.,3,3,0,"REF:  heute reicht    das    nicht mehr  aus
HYP:  hut   langeters nummer ***** ***** *****
TYPE: S     S         S      D     D     D"
ZG,100.0,79.20792079207921,50.480055043434,Trotz dieses Wachstums verlor der Ort seine Selbstständigkeit durch die Eingemeindung nach Den Helder.,Durch die Eingemeindung nach Den Helder verlor der Ort trotz des Wachstums seine Selbstständigkeit.,8,3,3,"REF:  ***** ***** *****         trotz dieses wachstums verlor der ort seine selbstständigkeit durch     die   eingemeindung     nach  den   helder
HYP:  durch die   eingemeindung nach  den    helder    verlor der ort trotz des               wachstums seine selbstständigkeit ***** ***** *****
TYPE: I     I     I             S     S      S         C      C   C   S     S                 S         S     S                 D     D     D"
AG,100.0,40.0,18.99589214128981,Lebensjahr vollendet.,Das Lebensjahr ist vollendet.,0,0,2,"REF:  ***** lebensjahr ***** vollendet
HYP:  das   lebensjahr ist   vollendet
TYPE: I     C          I     C"
BE,100.0,60.0,11.99014838091355,Der Rat hat die Reden Muammar Gadaffis nicht besprochen.,Die Rede von Muammar Gaddafi besprach der Rat nicht.,7,1,1,"REF:  ***** der  rat hat     die     reden    muammar gadaffis nicht besprochen
HYP:  die   rede von muammar gaddafi besprach der     rat      nicht *****
TYPE: I     S    S   S       S       S        S       S        C     D"
BE,83.33333333333334,72.41379310344827,10.400597689005304,"Mensch, schön habt ihr es hier!",Kopf hält dir schön hier.,4,1,0,"REF:  mensch schön habt ihr   es    hier
HYP:  kopf   hält  dir  schön ***** hier
TYPE: S      S     S    S     D     C"
LU,83.33333333333334,31.11111111111111,29.84745896009822,Damenteam spielen in der Regionalliga Nord-Ost.,Das Team der Damen spielt in der Regionalliga Nordost.,2,0,3,"REF:  ***** ***** ***** damenteam spielen in der regionalliga nordost
HYP:  das   team  der   damen     spielt  in der regionalliga nordost
TYPE: I     I     I     S         S       C  C   C            C"
BE,80.0,24.615384615384617,22.416933501922287,"Der Ort ist Sitz des Bistums Ventimiglia-Sanremo, Seebad und Kurort.",Dort ist Sitz des Bistums wenn die Emilia Sanremo sehbart und korort.,4,1,3,"REF:  der  ort   ist sitz des bistums ***** ***** *****  ventimigliasanremo seebad  und kurort
HYP:  dort ***** ist sitz des bistums wenn  die   emilia sanremo            sehbart und korort
TYPE: S    D     C   C    C   C       I     I     I      S                  S       C   S"
ZH,80.0,60.71428571428571,25.40663740773074,Im Norden liegt die Bandasee.,Der Bandasee liegt im Norden.,4,0,0,"REF:  im  norden   liegt die bandasee
HYP:  der bandasee liegt im  norden
TYPE: S   S        C     S   S"
BE,80.0,28.57142857142857,14.535768424205482,Zu Bioley-Magnoux gehören einige Einzelhöfe.,Zu Pia und Manu gehören einige Einzelhelfe.,2,0,2,"REF:  zu ***** ***** bioleymagnoux gehören einige einzelhöfe
HYP:  zu pia   und   manu          gehören einige einzelhelfe
TYPE: C  I     I     S             C       C      S"
SO,80.0,45.0,8.913765521398126,Warum aber sagen wir das dann nicht in unserer Entschließung?,"Warum sagen wir so etwas nicht, wenn wir uns hierzu entschließen?",5,1,2,"REF:  warum aber  sagen wir das dann  nicht ***** ***** in  unserer entschließung
HYP:  warum ***** sagen wir so  etwas nicht wenn  wir   uns hierzu  entschließen
TYPE: C     D     C     C   S   S     C     I     I     S   S       S"
AG,77.77777777777779,35.18518518518518,5.795599612995366,In der Hauptphase dreht der Körper um seine Längsachse.,Ich halte den phasendrehten Körper und seine Längsachsen.,6,1,0,"REF:  in  der   hauptphase dreht         der   körper um  seine längsachse
HYP:  ich halte den        phasendrehten ***** körper und seine längsachsen
TYPE: S   S     S          S             D     C      S   C     S"
AG,76.92307692307693,35.294117647058826,13.215955651112736,Die Samples wurden in der Vergangenheit von verschiedenen Kommentatoren der verschiedenen Sprachversionen eingesprochen.,In der Vergangenheit wurden Temples verschiedener Kommentatoren aus verschiedener Sprachversion gesprochen.,6,3,1,"REF:  die   samples wurden in der vergangenheit *****  von     verschiedenen kommentatoren der verschiedenen sprachversionen eingesprochen
HYP:  ***** *****   *****  in der vergangenheit wurden temples verschiedener kommentatoren aus verschiedener sprachversion   gesprochen
TYPE: D     D       D      C  C   C             I      S       S             C             S   S             S               S"
NW,75.0,28.205128205128204,15.97357760615681,Geschäftsführer ist der Generalsekretär.,Geschäftsführer war General Seccuter.,3,0,0,"REF:  geschäftsführer ist der     generalsekretär
HYP:  geschäftsführer war general seccuter
TYPE: C               S   S       S"
TG,75.0,41.17647058823529,25.40663740773074,Ich bin noch mit drei weiteren Dingen einverstanden.,Mit nur drei weiteren Dingen bin ich einverstanden.,2,2,2,"REF:  ich bin noch  mit   drei weiteren dingen ***** ***** einverstanden
HYP:  mit nur ***** ***** drei weiteren dingen bin   ich   einverstanden
TYPE: S   S   D     D     C    C        C      I     I     C"
