global_step,task_loss,ewc_term_raw,ewc_lambda,apply_half_factor
0,1.2065774202346802,0.0,300000.0,True
1,1.027400016784668,0.0,300000.0,True
2,0.9618809223175049,5.605804154207306e-10,300000.0,True
3,1.0512549877166748,2.3618693667515345e-09,300000.0,True
4,0.8483995795249939,6.726688983604845e-09,300000.0,True
5,1.0031096935272217,1.309591457498982e-08,300000.0,True
6,0.8818269968032837,2.2054589265962932e-08,300000.0,True
7,1.1012307405471802,3.3934814069880304e-08,300000.0,True
8,0.921681821346283,4.9029750925910776e-08,300000.0,True
9,0.9383934736251831,6.498459725889916e-08,300000.0,True
10,0.768939733505249,8.143272367533427e-08,300000.0,True
11,0.8910327553749084,9.856678673259012e-08,300000.0,True
12,0.9539761543273926,1.1525867193995509e-07,300000.0,True
13,0.9792401790618896,1.3757735928265902e-07,300000.0,True
14,1.03740656375885,1.6279702208521485e-07,300000.0,True
15,0.7983469367027283,1.9328193445744546e-07,300000.0,True
16,0.7264936566352844,2.250320250141158e-07,300000.0,True
17,0.6536424160003662,2.605697204671742e-07,300000.0,True
18,0.6393917798995972,2.946164272543683e-07,300000.0,True
19,0.8284496665000916,3.3324047876703844e-07,300000.0,True
20,0.5794647336006165,3.716563696798403e-07,300000.0,True
21,0.4562031924724579,4.1522724814058165e-07,300000.0,True
22,0.7842237949371338,4.5698669737248565e-07,300000.0,True
23,0.6136394739151001,4.98445842822548e-07,300000.0,True
24,0.7094496488571167,5.329462169356702e-07,300000.0,True
25,0.4916773736476898,5.66138737667643e-07,300000.0,True
26,0.7918077111244202,5.926569315306551e-07,300000.0,True
27,0.39044538140296936,6.179802198857942e-07,300000.0,True
28,0.7947563529014587,6.388850124494638e-07,300000.0,True
29,0.4268345534801483,6.623953368034563e-07,300000.0,True
30,0.365718275308609,6.81000074109761e-07,300000.0,True
31,0.5505391955375671,6.987962137827708e-07,300000.0,True
32,0.6258087158203125,7.103960797394393e-07,300000.0,True
33,0.33512890338897705,7.213162689367891e-07,300000.0,True
34,0.4435294568538666,7.288943493222177e-07,300000.0,True
35,0.4582367241382599,7.373341759375762e-07,300000.0,True
36,0.3512873947620392,7.440289095939079e-07,300000.0,True
37,0.5608342885971069,7.504002041969215e-07,300000.0,True
38,0.39789488911628723,7.567583679701784e-07,300000.0,True
39,0.5571168065071106,7.552877150374115e-07,300000.0,True
40,0.40768077969551086,7.679389568693296e-07,300000.0,True
41,0.4969380795955658,7.87392025358713e-07,300000.0,True
42,0.49872907996177673,8.037193879317783e-07,300000.0,True
43,0.3996693193912506,8.215711204684339e-07,300000.0,True
44,0.39272451400756836,8.341000921063824e-07,300000.0,True
45,0.4785836338996887,8.489027436553442e-07,300000.0,True
46,0.4741615056991577,8.53739322792535e-07,300000.0,True
47,0.44913116097450256,8.681301437718503e-07,300000.0,True
48,0.5334952473640442,8.737297889638285e-07,300000.0,True
49,0.4355241656303406,9.187610885419417e-07,300000.0,True
50,0.5104681253433228,9.721277365315473e-07,300000.0,True
51,0.6442793011665344,9.92121385934297e-07,300000.0,True
52,0.45294326543807983,1.023192680804641e-06,300000.0,True
53,0.4716913402080536,1.0267419838783098e-06,300000.0,True
54,0.45171108841896057,1.0392332114861347e-06,300000.0,True
55,0.4689650535583496,1.037743345477793e-06,300000.0,True
56,0.45037147402763367,1.0404420436316286e-06,300000.0,True
57,0.4770807921886444,1.0444664440001361e-06,300000.0,True
58,0.5751327276229858,1.0441376616654452e-06,300000.0,True
59,0.378193736076355,1.0361112572354614e-06,300000.0,True
60,0.6007767915725708,1.0252940683130873e-06,300000.0,True
61,0.46525838971138,1.008003323477169e-06,300000.0,True
62,0.5800498127937317,9.897535164782312e-07,300000.0,True
63,0.5308724045753479,9.69307961895538e-07,300000.0,True
64,0.3745459020137787,9.603645594324917e-07,300000.0,True
65,0.3565830886363983,9.509624874226574e-07,300000.0,True
66,0.48193296790122986,9.418612876288535e-07,300000.0,True
67,0.41792306303977966,9.21333764836163e-07,300000.0,True
68,0.4746563136577606,9.366067956761981e-07,300000.0,True
69,0.578161895275116,9.622908692108467e-07,300000.0,True
70,0.5018464922904968,1.0001712098528515e-06,300000.0,True
71,0.24202606081962585,1.0272298140989733e-06,300000.0,True
72,0.36100074648857117,1.0452913556946442e-06,300000.0,True
73,0.4165949523448944,1.0709181879065e-06,300000.0,True
74,0.2936286926269531,1.1486105222502374e-06,300000.0,True
75,0.42905113101005554,1.2294495945752715e-06,300000.0,True
76,0.6562279462814331,1.266881213268789e-06,300000.0,True
77,0.330867737531662,1.2736829830828356e-06,300000.0,True
78,0.36895671486854553,1.2720580571112805e-06,300000.0,True
79,0.4448738396167755,1.2542612921606633e-06,300000.0,True
80,0.4608525037765503,1.2330804111115867e-06,300000.0,True
81,0.5211060047149658,1.2081308113920386e-06,300000.0,True
82,0.37838655710220337,1.187875341202016e-06,300000.0,True
83,0.6381810903549194,1.1548105476322235e-06,300000.0,True
84,0.22211723029613495,1.149618128692964e-06,300000.0,True
85,0.31315380334854126,1.1337657497278997e-06,300000.0,True
86,0.48999184370040894,1.1369638741598465e-06,300000.0,True
